KOR Export File

File Created:21.02.2017 19:16:04

Sonde ID	Sonde01
User ID	Moritz
Site	Deployment Site
Template	Sonde01
Time Zone	(UTC+02:00) Amman

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	15D102264	1.0.12	6;7
Optical DO	15D102219	3.0.0	8;9
pH	15E101246	3.0.0	10;11
fDOM	15D102803	3.0.0	12;13
Total Algae BGA-PC	15D102570	3.0.0	14;15;16;17
Conductivity/Temp	15E101955	3.0.0	18;19;20;21;22;23
Wiper	15D102597	3.0.0	
Depth Non-Vented 0-100m	15C104794	3.0.0	24;25

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	Press psi a	Depth m	
01/28/2017	00:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.400000	9.810000	-172.700000	-0.110000	-0.330000	2.500000	9.990000	-0.080000	-0.080000	3.861000	118.000000	198.000000	0.090000	200.500000	129.000000	0.789000	0.555000	
01/28/2017	01:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.800000	16.410000	9.810000	-172.200000	-0.110000	-0.320000	2.470000	9.860000	-0.090000	-0.090000	3.854000	117.800000	197.600000	0.090000	200.100000	128.000000	0.791000	0.556000	
01/28/2017	01:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.400000	16.360000	9.810000	-172.500000	-0.100000	-0.300000	2.400000	9.590000	-0.070000	-0.070000	3.852000	115.000000	193.000000	0.090000	195.500000	125.000000	0.792000	0.557000	
01/28/2017	01:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.810000	-172.600000	-0.130000	-0.400000	2.580000	10.320000	-0.060000	-0.060000	3.855000	119.400000	200.300000	0.090000	202.900000	130.000000	0.790000	0.555000	
01/28/2017	01:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.900000	16.420000	9.810000	-172.400000	-0.110000	-0.330000	2.640000	10.560000	-0.070000	-0.070000	3.856000	117.700000	197.500000	0.090000	200.000000	128.000000	0.790000	0.555000	
01/28/2017	02:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.600000	16.380000	9.810000	-172.500000	-0.120000	-0.370000	2.510000	10.050000	-0.090000	-0.090000	3.855000	117.000000	196.300000	0.090000	198.800000	128.000000	0.788000	0.554000	
01/28/2017	02:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.600000	16.390000	9.800000	-171.700000	-0.110000	-0.320000	2.620000	10.460000	-0.070000	-0.070000	3.851000	117.100000	196.400000	0.090000	199.000000	128.000000	0.787000	0.553000	
01/28/2017	02:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.600000	16.390000	9.810000	-172.200000	-0.130000	-0.400000	2.530000	10.100000	-0.090000	-0.090000	3.852000	115.400000	193.500000	0.090000	196.000000	126.000000	0.783000	0.551000	
01/28/2017	02:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.500000	16.370000	9.800000	-172.100000	-0.130000	-0.380000	2.690000	10.740000	-0.080000	-0.080000	3.860000	117.500000	197.000000	0.090000	199.600000	128.000000	0.784000	0.551000	
01/28/2017	03:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.400000	9.810000	-172.500000	-0.130000	-0.390000	2.390000	9.580000	-0.110000	-0.110000	3.853000	117.400000	196.900000	0.090000	199.500000	128.000000	0.786000	0.553000	
